"Code Reference"," English"," Arabic"
"ShopTreasure_Sack_Of_Gems "," كيس من اللآلئ"," Sack of Pearls"
"ShopTreasure_Box_Of_Gems "," صندوق من اللآلئ"," Box of Pearls"
"ShopTreasure_Chest_Of_Gems "," خزانة من اللآلئ"," Chest of Pearls"
"ShopTreasure_Fill_Storages10 "," املأ المخازن بنسبة 10%"," Fill Storages by 10%"
"ShopTreasure_Fill_Storages50 "," املأ المخازن إلى النصف"," Fill Storages by Half"
"ShopTreasure_Fill_Storages "," املأ المخازن"," Fill Storages"
"ShopTreasure_Purchase_GEM "," ~quantity~"," ~quantity~"
"ShopTreasure_Purchase_GOLD "," ~quantity~ من الذهب"," ~quantity~ Gold"
"ShopTreasure_Purchase_WATER "," ~quantity~ من المياه"," ~quantity~ Water"
"ShopTreasure_Purchase_OIL "," ~quantity~ من النفط"," ~quantity~ Oil"
"ShopItem_buildCountText "," قم ببناء:"," Built"
"ShopItem_CoolDownText "," مهلة"," Cooldown"
"ShopItem_TownHall_Level_Require "," مطلوب ديوان بمستوى ~level~"," Diwan Level ~level~ Required"
"ELIXIR_COLLECTOR_DESCRIPTION "," يمكن للسيف أن يقتل - لكن الموت من العطش أسوأ! يجب علينا بناء الآبار وترقيتها لأن القرية تحتاج إلى المزيد من المياه لتعيش."," A sword can kill – but it's worse to die of thirst! As the village requires more water to grow, we must build and upgrade wells."
"GOLD_MINE_DESCRIPTION "," هذا هو المكان الذي نجمع فيه الضرائب من التجار الذين يتاجرون في قريتنا. ثروتنا بين يديك!"," This is where we hold the taxes on merchants that trade in our village. Our wealth is in your hands!"
"BUILDERS_HUT_DESCRIPTION "," البنايون هم أكثر العاملين اجتهادًا في القرية؛ فهم يكدحون ليلًا ونهارًا للمحافظة على المباني باستمرار وبناء مباني جديدة. هم لا يحتاجون أبدًا إلى فترة راحة، فلا تمنحهم إياها!"," The hardest workers in the village, carpenters toil day and night to keep buildings upgraded and build new ones. They never need a break – so don't give them one!"
"DARK_ELIXIR_DRILL_DESCRIPTION "," تحفر هذه الآلات الغريبة في أعماق الأرض لاستخراج النفط الثمين، والذي نستخدمه لقواتنا الخاصة."," These strange contraptions drill deep into the earth to extract precious oil, which we use on our elite troops."
"ELIXIR_STORAGE_DESCRIPTION "," نخزن الأباريق مياهنا الثمينة في هذه الصحراء القاسية."," In this harsh desert, this is where we store our precious water."
"GOLD_STORAGE_DESCRIPTION "," تلك صناديق الذهب الثقيلة تحمل كل ثرواتنا المتراكمة. لا تسمح باقتراب هذه الكلاب السلوقية المخادعة! قم بتطوير الصناديق لزيادة السعة وقوة تحمل الهجمات."," These heavy chests of gold hold all of our accumulated wealth. Don't let those sneaky salukis anywhere near! Upgrade storage to increase capacity and durability against attack."
"DARK_ELIXIR_STORAGE_DESCRIPTION "," لا يمكن لأباريق المياه عادية الشكل أن تستوعب ثقل النفط، فبسبب ذلك كان علينا اختراع خزان مختلف الشكل!"," The power of Oil could not be contained in a regularly shaped Water jug. As it's three times as powerful, we had to invent a different form of storage!"
"ARMY_CAMP_DESCRIPTION "," تتجمع جيوشنا هنا لتنال قسطًا من الراحة وتتناول الغوزي والمندي قبل إرسالها إلى المعركة. قم ببناء المزيد منها وترقيتها لاستيعاب المزيد من الجنود!"," Our armies gather here to rest and feast on rice and meat before being sent off into battle. Build more and upgrade them to accommodate more units!"
"BARRACK_DESCRIPTION "," تتدرب القوات هنا إلى أن تصبح لائقة وجاهزة للقتال! قم بتطوير القوات لإطلاق الوحدات المتقدمة التي يمكنها تحقيق النصر في المعارك الكبرى."," Practice makes perfect! Troops train here until they are fit and ready to fight! Upgrade it to unlock advanced units that can win major battles."
"LABORATORY_DESCRIPTION "," يحتاج أبو صقر إلى مكان جميل وهادئ للتفكير حتى يتمكن من توجيه قواتنا بشكل أفضل. يمكننا من خلال إنفاق الوقت والموارد هنا أن نقوم بتطوير جيشنا ليصبح أقوى الجيوش في الجزيرة العربية!"," I need a nice, quiet place to think, so I can better instruct our troops. By spending time and resources here, we can upgrade our army into the most powerful force in Arabia!"
"SPELL_FACTORY_DESCRIPTION "," لا يزال العطار يقوم بالتقاليد التي تمتد لعصور؛ وهي تخمير النباتات والأعشاب وتحويلها إلى جرع ودهانات تتمتع بمجموعة متنوعة من الآثار المدهشة التي سوف تساعدنا في المعركة!"," Our herbalist continues the ages-old tradition of brewing plants and herbs into potions and salves, with a variety of surprising effects that will aid us in battle!"
"BARBARIAN_KING_ALTAR_DESCRIPTION "," يستطيع فارس مهاجمة قرى الأعداء أو حراسة قريتك، قد يصاب بجروح لكنه لا يموت. عالج جراحه بأن تدعه ينام أو تستخدم زر تضميد الجراح. فارس لا يدافع عن القرية أثناء نومه."," Faris can attack enemy villages or guard your village. Faris can be injured, but is immortal. Heal him by letting them sleep or use the Heal button. Faris won't defend the village while sleeping."
"DARK_BARRACK_DESCRIPTION "," ساحة التدريب السوداء مهيأة لتدريب الوحدات التي تتطلب النفط لتعمل. ترقية هذه الساحة ستفتح لك المزيد من الوحدات القويية."," The Advanced Training will train units that require oil to function. Upgrade the Training Grounds to unlock more troops with powerful battle skills."
